Instance ID,Source Image Filename,Vertices,Timestamp,Type
0,GND.png,"[[[2235, 1569], [2235, 1567], [2234, 1564], [2233, 1562], [2231, 1560], [2229, 1558], [2227, 1557], [2224, 1557], [2222, 1556], [2219, 1557], [2217, 1557], [2215, 1558], [2213, 1560], [2211, 1562], [2210, 1564], [2209, 1567], [2209, 1569], [2209, 1572], [2210, 1574], [2211, 1577], [2213, 1579], [2215, 1580], [2217, 1581], [2219, 1582], [2222, 1582], [2224, 1582], [2227, 1581], [2229, 1580], [2231, 1579], [2233, 1577], [2234, 1574], [2235, 1572], [2235, 1569]]]",04/16/2026 15:55,via
1,GND.png,"[[[2235, 1493], [2235, 1490], [2234, 1488], [2233, 1486], [2231, 1484], [2229, 1482], [2227, 1481], [2224, 1480], [2222, 1480], [2219, 1480], [2217, 1481], [2215, 1482], [2213, 1484], [2211, 1486], [2210, 1488], [2209, 1490], [2209, 1493], [2209, 1495], [2210, 1498], [2211, 1500], [2213, 1502], [2215, 1504], [2217, 1505], [2219, 1506], [2222, 1506], [2224, 1506], [2227, 1505], [2229, 1504], [2231, 1502], [2233, 1500], [2234, 1498], [2235, 1495], [2235, 1493]]]",04/16/2026 15:55,via
2,GND.png,"[[[2312, 1569], [2311, 1567], [2311, 1564], [2309, 1562], [2308, 1560], [2306, 1558], [2304, 1557], [2301, 1557], [2299, 1556], [2296, 1557], [2294, 1557], [2291, 1558], [2289, 1560], [2288, 1562], [2287, 1564], [2286, 1567], [2286, 1569], [2286, 1572], [2287, 1574], [2288, 1577], [2289, 1579], [2291, 1580], [2294, 1581], [2296, 1582], [2299, 1582], [2301, 1582], [2304, 1581], [2306, 1580], [2308, 1579], [2309, 1577], [2311, 1574], [2311, 1572], [2312, 1569]]]",04/16/2026 15:55,via
3,GND.png,"[[[2312, 1493], [2311, 1490], [2311, 1488], [2309, 1486], [2308, 1484], [2306, 1482], [2304, 1481], [2301, 1480], [2299, 1480], [2296, 1480], [2294, 1481], [2291, 1482], [2289, 1484], [2288, 1486], [2287, 1488], [2286, 1490], [2286, 1493], [2286, 1495], [2287, 1498], [2288, 1500], [2289, 1502], [2291, 1504], [2294, 1505], [2296, 1506], [2299, 1506], [2301, 1506], [2304, 1505], [2306, 1504], [2308, 1502], [2309, 1500], [2311, 1498], [2311, 1495], [2312, 1493]]]",04/16/2026 15:55,via
4,GND.png,"[[[2448, 1569], [2447, 1562], [2445, 1555], [2441, 1548], [2436, 1542], [2431, 1538], [2424, 1534], [2417, 1532], [2409, 1531], [2402, 1532], [2394, 1534], [2388, 1538], [2382, 1542], [2377, 1548], [2374, 1555], [2372, 1562], [2371, 1569], [2372, 1577], [2374, 1584], [2377, 1591], [2382, 1596], [2388, 1601], [2394, 1605], [2402, 1607], [2409, 1608], [2417, 1607], [2424, 1605], [2431, 1601], [2436, 1596], [2441, 1591], [2445, 1584], [2447, 1577], [2448, 1569]]]",04/16/2026 15:55,via
5,GND.png,"[[[2312, 1646], [2311, 1643], [2311, 1641], [2309, 1639], [2308, 1637], [2306, 1635], [2304, 1634], [2301, 1633], [2299, 1633], [2296, 1633], [2294, 1634], [2291, 1635], [2289, 1637], [2288, 1639], [2287, 1641], [2286, 1643], [2286, 1646], [2286, 1648], [2287, 1651], [2288, 1653], [2289, 1655], [2291, 1657], [2294, 1658], [2296, 1659], [2299, 1659], [2301, 1659], [2304, 1658], [2306, 1657], [2308, 1655], [2309, 1653], [2311, 1651], [2311, 1648], [2312, 1646]]]",04/16/2026 15:55,via
6,GND.png,"[[[2235, 1646], [2235, 1643], [2234, 1641], [2233, 1639], [2231, 1637], [2229, 1635], [2227, 1634], [2224, 1633], [2222, 1633], [2219, 1633], [2217, 1634], [2215, 1635], [2213, 1637], [2211, 1639], [2210, 1641], [2209, 1643], [2209, 1646], [2209, 1648], [2210, 1651], [2211, 1653], [2213, 1655], [2215, 1657], [2217, 1658], [2219, 1659], [2222, 1659], [2224, 1659], [2227, 1658], [2229, 1657], [2231, 1655], [2233, 1653], [2234, 1651], [2235, 1648], [2235, 1646]]]",04/16/2026 15:55,via
7,GND.png,"[[[2435, 1277], [2434, 1271], [2432, 1266], [2430, 1260], [2426, 1256], [2421, 1252], [2416, 1249], [2410, 1247], [2404, 1247], [2398, 1247], [2392, 1249], [2387, 1252], [2382, 1256], [2378, 1260], [2375, 1266], [2374, 1271], [2373, 1277], [2374, 1283], [2375, 1289], [2378, 1295], [2382, 1299], [2387, 1303], [2392, 1306], [2398, 1308], [2404, 1308], [2410, 1308], [2416, 1306], [2421, 1303], [2426, 1299], [2430, 1295], [2432, 1289], [2434, 1283], [2435, 1277]]]",04/16/2026 15:55,via
8,GND.png,"[[[2435, 1168], [2434, 1162], [2432, 1156], [2430, 1151], [2426, 1146], [2421, 1142], [2416, 1139], [2410, 1138], [2404, 1137], [2398, 1138], [2392, 1139], [2387, 1142], [2382, 1146], [2378, 1151], [2375, 1156], [2374, 1162], [2373, 1168], [2374, 1174], [2375, 1180], [2378, 1185], [2382, 1190], [2387, 1193], [2392, 1196], [2398, 1198], [2404, 1199], [2410, 1198], [2416, 1196], [2421, 1193], [2426, 1190], [2430, 1185], [2432, 1180], [2434, 1174], [2435, 1168]]]",04/16/2026 15:55,via
9,GND.png,"[[[2230, 1223], [2229, 1220], [2229, 1218], [2227, 1215], [2226, 1213], [2224, 1212], [2222, 1211], [2219, 1210], [2217, 1210], [2214, 1210], [2212, 1211], [2209, 1212], [2207, 1213], [2206, 1215], [2204, 1218], [2204, 1220], [2203, 1223], [2204, 1225], [2204, 1228], [2206, 1230], [2207, 1232], [2209, 1233], [2212, 1235], [2214, 1235], [2217, 1236], [2219, 1235], [2222, 1235], [2224, 1233], [2226, 1232], [2227, 1230], [2229, 1228], [2229, 1225], [2230, 1223]]]",04/16/2026 15:55,via
10,GND.png,"[[[2306, 1223], [2306, 1220], [2305, 1218], [2304, 1215], [2303, 1213], [2301, 1212], [2298, 1211], [2296, 1210], [2293, 1210], [2291, 1210], [2288, 1211], [2286, 1212], [2284, 1213], [2282, 1215], [2281, 1218], [2281, 1220], [2280, 1223], [2281, 1225], [2281, 1228], [2282, 1230], [2284, 1232], [2286, 1233], [2288, 1235], [2291, 1235], [2293, 1236], [2296, 1235], [2298, 1235], [2301, 1233], [2303, 1232], [2304, 1230], [2305, 1228], [2306, 1225], [2306, 1223]]]",04/16/2026 15:55,via
11,GND.png,"[[[2230, 970], [2229, 967], [2229, 965], [2227, 963], [2226, 961], [2224, 959], [2222, 958], [2219, 957], [2217, 957], [2214, 957], [2212, 958], [2209, 959], [2207, 961], [2206, 963], [2204, 965], [2204, 967], [2203, 970], [2204, 973], [2204, 975], [2206, 977], [2207, 979], [2209, 981], [2212, 982], [2214, 983], [2217, 983], [2219, 983], [2222, 982], [2224, 981], [2226, 979], [2227, 977], [2229, 975], [2229, 973], [2230, 970]]]",04/16/2026 15:55,via
12,GND.png,"[[[2435, 915], [2434, 909], [2432, 903], [2430, 898], [2426, 893], [2421, 890], [2416, 887], [2410, 885], [2404, 884], [2398, 885], [2392, 887], [2387, 890], [2382, 893], [2378, 898], [2375, 903], [2374, 909], [2373, 915], [2374, 921], [2375, 927], [2378, 932], [2382, 937], [2387, 941], [2392, 944], [2398, 945], [2404, 946], [2410, 945], [2416, 944], [2421, 941], [2426, 937], [2430, 932], [2432, 927], [2434, 921], [2435, 915]]]",04/16/2026 15:55,via
13,GND.png,"[[[2435, 1025], [2434, 1019], [2432, 1013], [2430, 1008], [2426, 1003], [2421, 999], [2416, 996], [2410, 995], [2404, 994], [2398, 995], [2392, 996], [2387, 999], [2382, 1003], [2378, 1008], [2375, 1013], [2374, 1019], [2373, 1025], [2374, 1031], [2375, 1037], [2378, 1042], [2382, 1047], [2387, 1050], [2392, 1053], [2398, 1055], [2404, 1056], [2410, 1055], [2416, 1053], [2421, 1050], [2426, 1047], [2430, 1042], [2432, 1037], [2434, 1031], [2435, 1025]]]",04/16/2026 15:55,via
14,GND.png,"[[[2306, 970], [2306, 967], [2305, 965], [2304, 963], [2303, 961], [2301, 959], [2298, 958], [2296, 957], [2293, 957], [2291, 957], [2288, 958], [2286, 959], [2284, 961], [2282, 963], [2281, 965], [2281, 967], [2280, 970], [2281, 973], [2281, 975], [2282, 977], [2284, 979], [2286, 981], [2288, 982], [2291, 983], [2293, 983], [2296, 983], [2298, 982], [2301, 981], [2303, 979], [2304, 977], [2305, 975], [2306, 973], [2306, 970]]]",04/16/2026 15:55,via
